"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPR4",22.2295626538627,-2.25867324870074,0.247646415640643,-9.12055699598042,7.47392080708018e-20,3.2897090557418e-19
"GPRIN3",39.962382870217,2.56363627588903,0.148130247301605,17.3066360354429,4.19202190309876e-67,6.26506859123475e-66
"GRIK5",1.56994339271041,-2.03049929241251,0.503231199632541,-4.03492329945992,5.46201370747216e-05,9.56553637728989e-05
"GRIN2D",0.878668318727468,-2.04597424816784,0.533610428382192,-3.8342096393634,0.000125968675071781,0.000213867387355971
"GSTM2",86.2265637779278,-2.08854534300066,0.166260140698586,-12.5619125198925,3.41965551283776e-36,2.68930455818295e-35
"GTF2A1L",1.25393111809595,-2.08283379047335,0.531584938674905,-3.91815801942259,8.92282072388372e-05,0.000153364175214061
"GUCY1A2",44.1066028808415,3.66427068215185,0.197435920261789,18.559290919774,6.86041638537595e-77,1.19282210732985e-75
"GUCY1A3",59.3442634746048,2.07671131225516,0.11700879208058,17.7483356193012,1.77538096092755e-70,2.78948600195999e-69
"GXYLT2",12.9366163173985,2.14748498889908,0.188424654421182,11.3970488389425,4.32533695144538e-30,2.86921666474085e-29
"HDAC9",12.1923844991643,2.01711973706411,0.129739879343456,15.5474149295627,1.65658581597446e-54,1.97906609623382e-53
"HDX",5.16323883257954,2.04166530780804,0.161702293610999,12.6260751298902,1.5165589224234e-36,1.20529484274169e-35
"HEATR5A",41.891171435983,2.29049762507857,0.0778530153795725,29.4207952500137,2.97702960420978e-190,2.04909767023705e-188
"HELB",15.8369511124088,2.2562142918682,0.114647361772901,19.6796006203564,3.22533929134339e-86,6.42712032757073e-85
"HELZ",88.6387059364426,2.45509024080463,0.0578983542007444,42.4034547215689,0,0
"HERC1",159.706187889974,2.49469930265019,0.0774080155550933,32.2279196122092,7.17365255523343e-228,6.76985261580363e-226
"HFM1",1.36165079904831,2.39956947596859,0.330994971915144,7.24956473533307,4.18113089594466e-13,1.27283159045749e-12
"HIPK3",130.152556639013,3.37565698544682,0.117263054525442,28.787046347274,3.11599420053273e-182,1.98959544591462e-180
"HIST1H1C",41.1542564815064,3.2070904512435,0.142544444457365,22.4988807066608,4.25668689027832e-112,1.18941502399676e-110
"HIST1H2AC",29.8080381269223,2.27695858633436,0.132654424128636,17.164588375329,4.88936996920226e-66,7.17857107513502e-65
"HIST1H2AE",3.47037902494981,5.80412715376543,0.337643429028331,17.1901084243473,3.14942817485032e-66,4.6421581300225e-65
"HIST1H2AG",3.61106913787367,5.39583970429702,0.363373717675472,14.8492844744375,7.03151436443757e-50,7.65659456011507e-49
"HIST1H2BC",12.3772383061268,5.28575652993843,0.207406767347438,25.4849762017841,2.89286693962723e-143,1.16373909997605e-141
"HIST1H2BD",11.5005290622211,3.1526360859337,0.183702340929102,17.1616543914942,5.1427583566521e-66,7.54321496984992e-65
"HIST1H2BE",2.31277888504778,4.88512863346948,0.347800937866438,14.0457603807425,8.17858153791422e-45,8.05775548105074e-44
